german,english
der,of
die,to
und,and
in,a
den,in
von,for
zu,is
das,the
mit,that
sich,on
des,the
auf,onto
für,for
ist,is
im,in
dem,the
nicht,not
ein,one
Die,the
eine,one
als,than
auch,also
es,it
an,to
werden,will
aus,from
er,he
hat,has
daß,that
sie,they
nach,after
wird,is
bei,with
einer,one
Der,the
um,to
am,on
sind,are
noch,more
wie,as
einem,a
über,about
einen,a
Das,the
so,so
Sie,they
zum,to
war,was
haben,have
nur,only
oder,or
aber,however
vor,ago
zur,to
bis,to
mehr,more
durch,through
man,to
sein,its
wurde,was
sei,was
In,in
Prozent,percent
hatte,had
kann,can
gegen,towards
vom,from
können,be able
schon,already
wenn,when
habe,have
seine,its
Mark,Mark
ihre,their
dann,then
unter,below
wir,we
soll,to
ich,I
eines,one
Es,it
Jahr,year
zweri,two
Jahren,years
diese,this
dieser,this
wieder,again
keine,no
Uhr,clock
seiner,its
worden,been
Und,and
will,wants
zwischen,between
Im,in
immer,always
Millionen,million
Ein,one
was,what
sagte,said
Er,he
gibt,are
alle,all
DM,DM
diesem,this
seit,since
muß,must
wurden,were
beim,the
doch,but
jetzt,now
waren,were
drei,three
Jahre,years
Mit,with
neue,new
neuen,new
damit,so that
bereits,already
da,because
Auch,also
ihr,their
seinen,its
müssen,have to
ab,from
ihrer,of her
Nach,after
ohne,without
sondern,but
selbst,itself
ersten,first
nun,now
etwa,about
Bei,with
heute,today
ihren,their
weil,because
ihm,it
seien,are
Menschen,people
Deutschland,Germany
anderen,other
werde,will
Ich,I
sagt,says
Wir,we
Eine,one
rund,about
Für,for
Aber,however
ihn,it
Ende,end
jedoch,however
Zeit,time
sollen,to
ins,to
Wenn,when
So,so
seinem,his
uns,to us
Stadt,city
geht,goes
Doch,yet
sehr,highly
hier,here
ganz,quite
erst,only
wollen,will
Berlin,Berlin
vor allem,especially
sowie,and
hatten,had
kein,not a
deutschen,German
machen,have
lassen,leave
Als,than
Unternehmen,business
andere,other
ob,whether
dieses,this
steht,is
dabei,there
wegen,because
weiter,more
denn,because
beiden,two
einmal,once
etwas,something
Wie,how
nichts,nothing
allerdings,however
vier,four
gut,good
viele,a lot
wo,where
viel,much
dort,there
alles,everything
Auf,onto
wäre,would
SPD,SPD
kommt,comes
vergangenen,past
denen,to those
fast,almost
fünf,five
könnte,could
nicht nur,not only
hätten,would
Frau,woman
Am,on
dafür,for that
kommen,come
diesen,this
letzten,last
zwar,Although
Diese,this
großen,large
dazu,to
Von,from
Mann,man
Da,since
sollte,should
würde,would
also,so
bisher,been
Leben,life
Milliarden,billion
Welt,world
Regierung,government
konnte,could
ihrem,their
Frauen,women
während,during
Land,country
zehn,ten
würden,would
stehen,are
ja,yes
USA,USA
heißt,is
dies,this
zurück,back
Kinder,children
dessen,its
ihnen,them
deren,their
sogar,even
Frage,issue
gewesen,been
erste,first
gab,were
liegt,is
gar,even
davon,which
gestern,yesterday
geben,provide
Teil,part
Polizei,police
dass,that
hätte,would
eigenen,own
kaum,hardly
sieht,looks
große,large
Denn,because
weitere,more
Was,What
sehen,watch
macht,makes
Angaben,information
weniger,less
gerade,just
läßt,can
Geld,money
München,Munich
deutsche,German
allen,all
darauf,it
wohl,probably
später,subsequently
könne,could
deshalb,therefore
aller,of all
kam,came
Arbeit,working
mich,myself
gegenüber,compared with
nächsten,next
bleibt,remains
wenig,little
lange,long
gemacht,made
Wer,Who
Dies,This
Fall,case
mir,me
gehen,move
Berliner,Berlin
mal,times
Weg,way
CDU,CDU
wollte,wanted
sechs,six
keinen,no
Woche,week
dagegen,against
alten,old
möglich,feasible
gilt,applies
erklärte,explained
müsse,must
Dabei,there
könnten,could
Geschichte,history
zusammen,together
finden,Quote
Tag,day
Art,type
erhalten,obtain
Man,one
Dollar,dollars
Wochen,weeks
jeder,everyone
nie,never
bleiben,remain
besonders,particularly
Jahres,year
Deutschen,German
Den,the
Zu,to
zunächst,first
derzeit,at the moment
allein,only
deutlich,clearly
Entwicklung,development
weiß,white
einige,some
sollten,should
Präsident,President
geworden,become
statt,instead
Bonn,Bonn
Platz,place
inzwischen,meanwhile
Nur,only
Freitag,Friday
Um,to
pro,per
seines,its
Damit,so that
Montag,Monday
Europa,Europe
schließlich,finally
Sonntag,Sunday
einfach,simply
gehört,heard
eher,more
oft,often
Zahl,number
neben,next to
hält,holds
weit,widely
Partei,party
meisten,most
Thema,topic
zeigt,shows
Politik,policy
Aus,from
zweiten,second
Januar,January
insgesamt,overall
je,each
mußte,had
Anfang,top
hinter,behind
ebenfalls,also
ging,went
Mitarbeiter,employee
darüber,above
vielen,many
Ziel,target
darf,Do
Seite,page
fest,tight
hin,out
erklärt,explained
Namen,name
Haus,house
An,to
Frankfurt,Frankfurt
Gesellschaft,company
Mittwoch,Wednesday
damals,then
Dienstag,Tuesday
Hilfe,relief
Mai,May
Markt,market
Seit,since
Tage,days
Donnerstag,Thursday
halten,stay
gleich,the same
nehmen,have
solche,such
Entscheidung,decision
besser,more
alte,old
Leute,people
Ergebnis,outcome
Samstag,Saturday
Daß,that
sagen,say
System,system
März,March
tun,do
Monaten,months
kleinen,small
lang,long
Nicht,not
knapp,just
bringen,bring
wissen,know
Kosten,costs
Erfolg,success
bekannt,known
findet,finds
daran,because
künftig,future
wer,who
acht,eight
Grünen,green
schnell,quickly
Grund,reason
scheint,seems
Zukunft,future
Stuttgart,Stuttgart
bin,am
liegen,are
politischen,political
Gruppe,group
Rolle,role
stellt,provides
Juni,June
sieben,seven
September,September
nämlich,namely
Männer,Men
Oktober,October
Mrd,billion
überhaupt,at all
eigene,own
Dann,then
gegeben,given
Außerdem,also
Stunden,hours
eigentlich,actually
Meter,meters
ließ,let
Probleme,problems
vielleicht,maybe
ebenso,as well
Bereich,area
zum Beispiel,for example
Bis,to
Höhe,height
Familie,family
Während,during
Bild,image
Ländern,countries
Informationen,information
Frankreich,France
Tagen,days
schwer,heavy
zuvor,before
Vor,ago
genau,exactly
April,April
stellen,provide
neu,new
erwartet,expected
Hamburg,Hamburg
sicher,secure
führen,carry
Mal,times
Über,about
mehrere,several
Wirtschaft,economy
Mio,million
Programm,program
offenbar,apparently
Hier,here
weiteren,other
natürlich,of course
konnten,could
stark,strong
Dezember,December
Juli,July
ganze,whole
kommenden,coming
Kunden,customers
bekommen,obtain
eben,simply
kleine,small
trotz,despite
wirklich,really
Lage,Location
Länder,countries
leicht,easily
gekommen,come
Spiel,match
laut,according to
November,November
kurz,short
politische,political
führt,leads
innerhalb,within
unsere,our
meint,says
immer wieder,repeatedly
Form,form
Münchner,Munich
AG,AG
anders,otherwise
ihres,their
völlig,completely
beispielsweise,for example
gute,good
bislang,so far
August,August
Hand,hand
jede,each
GmbH,GmbH
Film,movie
Minuten,minutes
erreicht,reached
beide,both
Musik,Music
Kritik,criticism
Mitte,center
Verfügung,available
Buch,book
dürfen,be allowed
Unter,below
jeweils,each
einigen,some
Zum,to
Umsatz,sales
spielen,play
Daten,data
welche,which
müßten,would
hieß,was
paar,few
nachdem,once
Kunst,Art
Euro,€
gebracht,brought
Problem,problem
Noch,yet
jeden,each
Ihre,their
Sprecher,speaker
recht,right
erneut,once again
längst,long
europäischen,European
Sein,its
Eltern,parents
Beginn,beginning
besteht,consists
Seine,its
mindestens,at least
machte,made
Jetzt,now
bietet,offers
außerdem,also
Bürger,bourgeois
Trainer,Coach
bald,soon
Deutsche,German
Schon,already
Fragen,questions
klar,clear
Durch,through
Seiten,pages
gehören,include
Dort,there
erstmals,for the first time
Februar,February
zeigen,show
Titel,Title
Stück,item
größten,largest
FDP,FDP
setzt,sets
Wert,worth
Frankfurter,Frankfurt
Staat,State
möchte,would like
daher,hence
wolle,would
Bundesregierung,Federal Government
lediglich,only
Nacht,night
Krieg,war
Opfer,victims
Tod,death
nimmt,takes
Firma,company
zuletzt,last
Werk,factory
hohen,high
leben,life
unter anderem,inter alia
Dieser,this
Kirche,Church
weiterhin,furthermore
gebe,give
gestellt,provided
Mitglieder,members
Rahmen,framework
zweite,second
Paris,Paris
Situation,situation
gefunden,found
Wochenende,weekend
internationalen,international
Wasser,water
Recht,right
sonst,otherwise
stand,was
Hälfte,half
Möglichkeit,opportunity
versucht,tries
blieb,remained
junge,young
Mehrheit,majority
Straße,road
Sache,thing
arbeiten,operate
Monate,months
Mutter,mother
berichtet,reported
letzte,latest
Gericht,court
wollten,wanted
Ihr,their
zwölf,twelve
zumindest,at least
Wahl,choice
genug,enough
Weise,fashion
Vater,father
Bericht,report
amerikanischen,American
hoch,high
beginnt,begins
Wort,word
obwohl,although
Kopf,head
spielt,plays
Interesse,interest
Westen,west
verloren,lost
Preis,price
Erst,only
jedem,each
erreichen,reach
setzen,place
spricht,speaks
früher,earlier
teilte,shared
Landes,country
zudem,also
einzelnen,individual
bereit,ready
Blick,view
Druck,Print
Bayern,Bavaria
Kilometer,kilometers
gemeinsam,together
Bedeutung,meaning
Chance,chance
Politiker,politicians
Dazu,to
Zwei,two
besten,best
Ansicht,view
endlich,finally
Stelle,location
direkt,directly
Beim,when
Bevölkerung,population
Viele,a lot
solchen,such
Alle,All
solle,should
jungen,young
Einsatz,use
richtig,properly
größte,greatest
sofort,immediately
neuer,new
ehemaligen,former
unserer,our
dürfte,might
schaffen,create
Augen,eye
Rußland,Russia
Internet,Internet
Allerdings,However
Raum,space
Mannschaft,team
neun,nine
kamen,came
Ausstellung,exhibition
Zeiten,times
Dem,the
einzige,only
meine,my
Nun,now
Verfahren,method
Angebot,offer
Richtung,direction
Projekt,project
niemand,nobody
Kampf,fight
weder,neither
tatsächlich,actually
Personen,people
dpa,dpa
Heute,today
geführt,out
Gespräch,interview
Kreis,circle
Hamburger,Hamburg
Schule,school
guten,good
Hauptstadt,capital
durchaus,thoroughly
Zusammenarbeit,cooperation
darin,in
Amt,Office
Schritt,move
meist,usually
groß,great
zufolge,according to
Sprache,language
Region,region
Punkte,points
Vergleich,comparison
genommen,taken
gleichen,same
du,you
Ob,whether
Soldaten,soldiers
Universität,University
verschiedenen,different
Kollegen,colleagues
neues,new
Bürgermeister,Mayor
Angst,anxiety
stellte,presented
Sommer,summer
danach,after
anderer,other
gesagt,said
Sicherheit,security
Macht,force
Bau,construction
handelt,is
Folge,effect
Bilder,pictures
lag,was
Osten,East
Handel,trade
sprach,spoke
Aufgabe,function
Chef,chief
frei,free
dennoch,nevertheless
DDR,DDR
hohe,high
Firmen,companies
bzw,or
Koalition,coalition
Mädchen,girls
Zur,to
entwickelt,developed
fand,found
Diskussion,discussion
bringt,brings
Deshalb,therefore
Hause,home
Gefahr,threat
per,by
zugleich,at the same time
früheren,previous
dadurch,thereby
ganzen,whole
abend,night
erzählt,told
Streit,battle
Vergangenheit,history
Parteien,parties
Verhandlungen,negotiations
jedenfalls,at least
gesehen,seen
französischen,French
Trotz,despite
darunter,among them
Spieler,player
forderte,called
Beispiel,example
Meinung,review
wenigen,few
Publikum,audience
sowohl,both
meinte,said
mag,like
Auto,car
Lösung,solution
Boden,ground
Einen,a
Präsidenten,President
hinaus,out
Zwar,While
verletzt,injured
weltweit,worldwide
Sohn,son
bevor,before
Peter,Peter
mußten,had
keiner,no one
Produktion,production
Ort,Location
braucht,needs
Zusammenhang,connection
Kind,child
Verein,organization
sprechen,speak
Aktien,shares
gleichzeitig,at the same time
London,London
sogenannten,so-called
Richter,judge
geplant,planned
Italien,Italy
Mittel,means
her,ago
freilich,of course
Mensch,human being
großer,large
Bonner,Bonner
wenige,a few
öffentlichen,public
Unterstützung,support
dritten,third
nahm,took
Bundesrepublik,Federal Republic
Arbeitsplätze,jobs
bedeutet,means
Feld,field
Dr.,Dr.
Bank,Bank
oben,top
gesetzt,set
Ausland,abroad
Ministerpräsident,Prime Minister
Vertreter,representatives
z.B.,e.g.
jedes,each
ziehen,remove
Parlament,Parliament
berichtete,reported
Dieses,this
China,China
aufgrund,on the basis of
Stellen,provide
warum,why
Kindern,children
heraus,out
heutigen,today
Anteil,share
Herr,Mr.
Öffentlichkeit,public
Abend,night
Selbst,itself
Liebe,love
Neben,next to
rechnen,count
fällt,falls
New York,New York
Industrie,industry
WELT,WORLD
Stuttgarter,Stuttgart
wären,would
Vorjahr,year
Sicht,sight
Idee,idea
Banken,banks
verlassen,leave
Leiter,head
Bühne,theater
insbesondere,particular
offen,open
stets,always
Theater,Theatre
ändern,change
entschieden,decided
Staaten,States
Experten,experts
Gesetz,law
Geschäft,business
Tochter,daughter
angesichts,in the face of
gelten,apply to
Mehr,more
erwarten,expect
läuft,runs
fordert,calls
Japan,Japan
Sieg,victory
Ist,is
Stimmen,be right
wählen,choose
russischen,Russian
gewinnen,win
CSU,CSU
bieten,offer
Nähe,close
jährlich,annually
Bremen,Bremen
Schüler,students
Rede,speech
Funktion,function
Zuschauer,viewers
hingegen,however
anderes,other
Führung,leadership
Besucher,Visitors
Drittel,third
Moskau,Moscow
immerhin,at least
Vorsitzende,leader
Urteil,judgment
Schließlich,finally
Kultur,Culture
betonte,emphasized
mittlerweile,meanwhile
Saison,season
Konzept,concept
suchen,search
Zahlen,numbers
Roman,novel
Gewalt,force
Köln,Cologne
gesamte,entire
indem,by
EU,EU
Stunde,hour
ehemalige,former
Auftrag,application
entscheiden,decide
genannt,stated
tragen,wear
Börse,exchange
langen,long
häufig,often
Chancen,opportunities
Vor allem,especially
Position,position
alt,old
Luft,air
Studenten,students
übernehmen,take
stärker,more
ohnehin,anyway
zeigte,showed
geplanten,planned
Reihe,series
darum,about
verhindern,prevent
begann,started
Medien,media
verkauft,sold
Minister,Minister
wichtig,important
amerikanische,American
sah,saw
gesamten,total
einst,once
verwendet,used
vorbei,past
Behörden,authorities
helfen,help
Folgen,follow
bezeichnet,referred